,student,major,course,semester
0,41,370,368,S1
0,41,370,375,S1
0,41,370,373,S1
0,41,370,366,S1
0,41,370,365,S1
0,42,710,712,S1
0,42,710,706,S1
0,42,710,708,S1
0,42,710,713,S1
0,42,710,705,S1
0,43,890,895,S1
0,43,890,891,S1
0,43,890,893,S1
0,43,890,887,S1
0,43,890,888,S1
0,44,190,190,S1
0,44,190,187,S1
0,44,190,191,S1
0,44,190,189,S1
0,44,190,193,S1
0,45,850,853,S1
0,45,850,852,S1
0,45,850,847,S1
0,45,850,850,S1
0,45,850,846,S1
0,46,880,880,S1
0,46,880,879,S1
0,46,880,884,S1
0,46,880,882,S1
0,46,880,875,S1
0,47,0,-3,S1
0,47,0,-2,S1
0,47,0,1,S1
0,47,0,-4,S1
0,47,0,2,S1
0,48,970,969,S1
0,48,970,970,S1
0,48,970,967,S1
0,48,970,966,S1
0,48,970,972,S1
0,49,300,297,S1
0,49,300,303,S1
0,49,300,302,S1
0,49,300,305,S1
0,49,300,298,S1
0,50,830,828,S1
0,50,830,834,S1
0,50,830,835,S1
0,50,830,832,S1
0,50,830,826,S1
0,51,140,143,S1
0,51,140,136,S1
0,51,140,137,S1
0,51,140,144,S1
0,51,140,141,S1
0,52,60,64,S1
0,52,60,58,S1
0,52,60,57,S1
0,52,60,55,S1
0,52,60,63,S1
0,53,370,375,S1
0,53,370,369,S1
0,53,370,370,S1
0,53,370,368,S1
0,53,370,365,S1
0,54,80,75,S1
0,54,80,82,S1
0,54,80,79,S1
0,54,80,77,S1
0,54,80,84,S1
0,55,770,768,S1
0,55,770,771,S1
0,55,770,767,S1
0,55,770,769,S1
0,55,770,770,S1
0,56,150,151,S1
0,56,150,153,S1
0,56,150,148,S1
0,56,150,146,S1
0,56,150,154,S1
0,57,20,24,S1
0,57,20,25,S1
0,57,20,20,S1
0,57,20,15,S1
0,57,20,21,S1
0,58,670,673,S1
0,58,670,671,S1
0,58,670,669,S1
0,58,670,670,S1
0,58,670,672,S1
0,59,890,892,S1
0,59,890,895,S1
0,59,890,894,S1
0,59,890,886,S1
0,59,890,885,S1
0,60,520,516,S1
0,60,520,522,S1
0,60,520,520,S1
0,60,520,525,S1
0,60,520,521,S1
0,61,950,955,S1
0,61,950,954,S1
0,61,950,950,S1
0,61,950,946,S1
0,61,950,951,S1
0,62,340,344,S1
0,62,340,337,S1
0,62,340,345,S1
0,62,340,340,S1
0,62,340,338,S1
0,63,570,566,S1
0,63,570,571,S1
0,63,570,574,S1
0,63,570,567,S1
0,63,570,568,S1
0,64,380,381,S1
0,64,380,384,S1
0,64,380,379,S1
0,64,380,380,S1
0,64,380,382,S1
0,65,200,195,S1
0,65,200,200,S1
0,65,200,196,S1
0,65,200,199,S1
0,65,200,203,S1
0,66,410,411,S1
0,66,410,412,S1
0,66,410,406,S1
0,66,410,414,S1
0,66,410,408,S1
0,67,570,571,S1
0,67,570,569,S1
0,67,570,572,S1
0,67,570,565,S1
0,67,570,570,S1
0,68,520,515,S1
0,68,520,520,S1
0,68,520,523,S1
0,68,520,522,S1
0,68,520,517,S1
0,69,840,840,S1
0,69,840,842,S1
0,69,840,843,S1
0,69,840,841,S1
0,69,840,835,S1
0,70,890,894,S1
0,70,890,886,S1
0,70,890,885,S1
0,70,890,893,S1
0,70,890,888,S1
0,71,120,117,S1
0,71,120,121,S1
0,71,120,123,S1
0,71,120,120,S1
0,71,120,118,S1
0,72,820,819,S1
0,72,820,822,S1
0,72,820,825,S1
0,72,820,816,S1
0,72,820,817,S1
0,73,660,660,S1
0,73,660,663,S1
0,73,660,662,S1
0,73,660,655,S1
0,73,660,658,S1
0,74,20,22,S1
0,74,20,16,S1
0,74,20,23,S1
0,74,20,20,S1
0,74,20,25,S1
0,75,430,430,S1
0,75,430,433,S1
0,75,430,429,S1
0,75,430,427,S1
0,75,430,426,S1
0,76,60,65,S1
0,76,60,62,S1
0,76,60,61,S1
0,76,60,55,S1
0,76,60,64,S1
0,77,640,642,S1
0,77,640,640,S1
0,77,640,638,S1
0,77,640,635,S1
0,77,640,641,S1
0,78,190,187,S1
0,78,190,192,S1
0,78,190,190,S1
0,78,190,186,S1
0,78,190,188,S1
0,79,860,856,S1
0,79,860,858,S1
0,79,860,862,S1
0,79,860,863,S1
0,79,860,855,S1
0,80,500,499,S1
0,80,500,496,S1
0,80,500,502,S1
0,80,500,497,S1
0,80,500,500,S1
0,81,850,848,S1
0,81,850,852,S1
0,81,850,849,S1
0,81,850,854,S1
0,81,850,855,S1
0,82,300,298,S1
0,82,300,302,S1
0,82,300,304,S1
0,82,300,300,S1
0,82,300,301,S1
0,83,600,603,S1
0,83,600,599,S1
0,83,600,602,S1
0,83,600,604,S1
0,83,600,595,S1
0,84,110,105,S1
0,84,110,111,S1
0,84,110,108,S1
0,84,110,114,S1
0,84,110,109,S1
0,85,290,291,S1
0,85,290,289,S1
0,85,290,288,S1
0,85,290,293,S1
0,85,290,290,S1
0,86,790,791,S1
0,86,790,789,S1
0,86,790,794,S1
0,86,790,787,S1
0,86,790,786,S1
0,87,540,536,S1
0,87,540,542,S1
0,87,540,544,S1
0,87,540,537,S1
0,87,540,543,S1
0,88,110,105,S1
0,88,110,106,S1
0,88,110,112,S1
0,88,110,108,S1
0,88,110,111,S1
0,89,410,405,S1
0,89,410,407,S1
0,89,410,413,S1
0,89,410,414,S1
0,89,410,415,S1
0,90,730,728,S1
0,90,730,726,S1
0,90,730,734,S1
0,90,730,725,S1
0,90,730,729,S1
0,91,920,923,S1
0,91,920,918,S1
0,91,920,915,S1
0,91,920,924,S1
0,91,920,916,S1
0,92,480,483,S1
0,92,480,475,S1
0,92,480,481,S1
0,92,480,482,S1
0,92,480,478,S1
0,93,900,896,S1
0,93,900,903,S1
0,93,900,897,S1
0,93,900,898,S1
0,93,900,905,S1
0,94,60,55,S1
0,94,60,64,S1
0,94,60,61,S1
0,94,60,59,S1
0,94,60,62,S1
0,95,550,549,S1
0,95,550,554,S1
0,95,550,547,S1
0,95,550,545,S1
0,95,550,552,S1
0,96,980,978,S1
0,96,980,984,S1
0,96,980,982,S1
0,96,980,975,S1
0,96,980,976,S1
0,97,930,935,S1
0,97,930,933,S1
0,97,930,929,S1
0,97,930,926,S1
0,97,930,930,S1
0,98,560,562,S1
0,98,560,555,S1
0,98,560,561,S1
0,98,560,560,S1
0,98,560,557,S1
0,99,320,322,S1
0,99,320,319,S1
0,99,320,316,S1
0,99,320,325,S1
0,99,320,320,S1
0,100,0,1,S1
0,100,0,2,S1
0,100,0,5,S1
0,100,0,3,S1
0,100,0,-2,S1
0,101,310,315,S1
0,101,310,313,S1
0,101,310,310,S1
0,101,310,311,S1
0,101,310,308,S1
0,102,290,293,S1
0,102,290,290,S1
0,102,290,291,S1
0,102,290,285,S1
0,102,290,295,S1
0,103,40,39,S1
0,103,40,38,S1
0,103,40,45,S1
0,103,40,42,S1
0,103,40,37,S1
0,104,690,693,S1
0,104,690,685,S1
0,104,690,691,S1
0,104,690,689,S1
0,104,690,687,S1
0,105,480,475,S1
0,105,480,484,S1
0,105,480,478,S1
0,105,480,480,S1
0,105,480,476,S1
0,106,770,768,S1
0,106,770,774,S1
0,106,770,767,S1
0,106,770,770,S1
0,106,770,775,S1
0,107,360,356,S1
0,107,360,357,S1
0,107,360,355,S1
0,107,360,359,S1
0,107,360,362,S1
0,108,290,288,S1
0,108,290,289,S1
0,108,290,290,S1
0,108,290,285,S1
0,108,290,293,S1
0,109,420,417,S1
0,109,420,425,S1
0,109,420,424,S1
0,109,420,415,S1
0,109,420,422,S1
0,110,100,97,S1
0,110,100,101,S1
0,110,100,104,S1
0,110,100,98,S1
0,110,100,105,S1
0,111,560,557,S1
0,111,560,556,S1
0,111,560,562,S1
0,111,560,555,S1
0,111,560,559,S1
0,112,310,311,S1
0,112,310,309,S1
0,112,310,305,S1
0,112,310,314,S1
0,112,310,306,S1
0,113,700,704,S1
0,113,700,702,S1
0,113,700,701,S1
0,113,700,703,S1
0,113,700,698,S1
0,114,190,191,S1
0,114,190,188,S1
0,114,190,195,S1
0,114,190,189,S1
0,114,190,193,S1
0,115,770,767,S1
0,115,770,775,S1
0,115,770,765,S1
0,115,770,773,S1
0,115,770,774,S1
0,116,530,532,S1
0,116,530,531,S1
0,116,530,529,S1
0,116,530,533,S1
0,116,530,525,S1
0,117,990,992,S1
0,117,990,985,S1
0,117,990,987,S1
0,117,990,995,S1
0,117,990,986,S1
0,118,110,106,S1
0,118,110,115,S1
0,118,110,109,S1
0,118,110,110,S1
0,118,110,108,S1
0,119,590,590,S1
0,119,590,593,S1
0,119,590,595,S1
0,119,590,586,S1
0,119,590,594,S1
0,120,470,467,S1
0,120,470,475,S1
0,120,470,471,S1
0,120,470,466,S1
0,120,470,465,S1
0,121,440,440,S1
0,121,440,439,S1
0,121,440,436,S1
0,121,440,438,S1
0,121,440,435,S1
0,122,60,58,S1
0,122,60,57,S1
0,122,60,62,S1
0,122,60,60,S1
0,122,60,56,S1
0,123,40,42,S1
0,123,40,36,S1
0,123,40,39,S1
0,123,40,40,S1
0,123,40,38,S1
0,124,610,615,S1
0,124,610,609,S1
0,124,610,610,S1
0,124,610,608,S1
0,124,610,611,S1
0,125,870,875,S1
0,125,870,867,S1
0,125,870,869,S1
0,125,870,872,S1
0,125,870,871,S1
0,126,350,346,S1
0,126,350,347,S1
0,126,350,353,S1
0,126,350,345,S1
0,126,350,349,S1
0,127,870,875,S1
0,127,870,870,S1
0,127,870,872,S1
0,127,870,868,S1
0,127,870,869,S1
0,128,620,615,S1
0,128,620,623,S1
0,128,620,618,S1
0,128,620,624,S1
0,128,620,622,S1
0,129,810,809,S1
0,129,810,815,S1
0,129,810,813,S1
0,129,810,814,S1
0,129,810,812,S1
0,130,570,574,S1
0,130,570,566,S1
0,130,570,571,S1
0,130,570,568,S1
0,130,570,567,S1
0,131,600,603,S1
0,131,600,604,S1
0,131,600,602,S1
0,131,600,600,S1
0,131,600,605,S1
0,132,720,720,S1
0,132,720,721,S1
0,132,720,715,S1
0,132,720,719,S1
0,132,720,725,S1
0,133,720,719,S1
0,133,720,718,S1
0,133,720,716,S1
0,133,720,721,S1
0,133,720,722,S1
0,134,60,64,S1
0,134,60,61,S1
0,134,60,58,S1
0,134,60,62,S1
0,134,60,60,S1
0,135,350,345,S1
0,135,350,353,S1
0,135,350,347,S1
0,135,350,355,S1
0,135,350,346,S1
0,136,660,655,S1
0,136,660,659,S1
0,136,660,662,S1
0,136,660,657,S1
0,136,660,661,S1
0,137,940,943,S1
0,137,940,936,S1
0,137,940,939,S1
0,137,940,942,S1
0,137,940,937,S1
0,138,930,925,S1
0,138,930,933,S1
0,138,930,928,S1
0,138,930,932,S1
0,138,930,935,S1
0,139,880,878,S1
0,139,880,875,S1
0,139,880,881,S1
0,139,880,885,S1
0,139,880,882,S1
0,140,600,598,S1
0,140,600,601,S1
0,140,600,595,S1
0,140,600,599,S1
0,140,600,600,S1
0,141,80,84,S1
0,141,80,85,S1
0,141,80,80,S1
0,141,80,82,S1
0,141,80,78,S1
0,142,120,118,S1
0,142,120,124,S1
0,142,120,123,S1
0,142,120,117,S1
0,142,120,116,S1
0,143,600,599,S1
0,143,600,604,S1
0,143,600,602,S1
0,143,600,601,S1
0,143,600,595,S1
0,144,330,335,S1
0,144,330,334,S1
0,144,330,332,S1
0,144,330,333,S1
0,144,330,331,S1
0,145,860,865,S1
0,145,860,858,S1
0,145,860,857,S1
0,145,860,856,S1
0,145,860,861,S1
0,146,700,697,S1
0,146,700,705,S1
0,146,700,704,S1
0,146,700,699,S1
0,146,700,698,S1
0,147,320,325,S1
0,147,320,324,S1
0,147,320,316,S1
0,147,320,321,S1
0,147,320,320,S1
0,148,810,805,S1
0,148,810,813,S1
0,148,810,808,S1
0,148,810,811,S1
0,148,810,812,S1
0,149,600,596,S1
0,149,600,604,S1
0,149,600,601,S1
0,149,600,600,S1
0,149,600,605,S1
0,150,560,559,S1
0,150,560,558,S1
0,150,560,564,S1
0,150,560,561,S1
0,150,560,563,S1
0,151,290,290,S1
0,151,290,285,S1
0,151,290,288,S1
0,151,290,294,S1
0,151,290,295,S1
0,152,750,747,S1
0,152,750,755,S1
0,152,750,753,S1
0,152,750,752,S1
0,152,750,754,S1
0,153,10,14,S1
0,153,10,7,S1
0,153,10,13,S1
0,153,10,15,S1
0,153,10,12,S1
0,154,360,358,S1
0,154,360,356,S1
0,154,360,363,S1
0,154,360,357,S1
0,154,360,361,S1
0,155,570,569,S1
0,155,570,568,S1
0,155,570,571,S1
0,155,570,575,S1
0,155,570,572,S1
0,156,420,422,S1
0,156,420,421,S1
0,156,420,424,S1
0,156,420,416,S1
0,156,420,415,S1
0,157,70,71,S1
0,157,70,65,S1
0,157,70,70,S1
0,157,70,73,S1
0,157,70,66,S1
0,158,390,388,S1
0,158,390,389,S1
0,158,390,394,S1
0,158,390,387,S1
0,158,390,395,S1
0,159,0,5,S1
0,159,0,-2,S1
0,159,0,2,S1
0,159,0,-5,S1
0,159,0,-3,S1
0,160,780,776,S1
0,160,780,782,S1
0,160,780,777,S1
0,160,780,779,S1
0,160,780,781,S1
0,161,680,675,S1
0,161,680,676,S1
0,161,680,683,S1
0,161,680,685,S1
0,161,680,681,S1
0,162,530,532,S1
0,162,530,533,S1
0,162,530,526,S1
0,162,530,525,S1
0,162,530,535,S1
0,163,830,835,S1
0,163,830,833,S1
0,163,830,825,S1
0,163,830,827,S1
0,163,830,831,S1
0,164,410,410,S1
0,164,410,407,S1
0,164,410,414,S1
0,164,410,415,S1
0,164,410,405,S1
0,165,860,859,S1
0,165,860,858,S1
0,165,860,860,S1
0,165,860,865,S1
0,165,860,857,S1
0,166,770,769,S1
0,166,770,771,S1
0,166,770,768,S1
0,166,770,772,S1
0,166,770,774,S1
0,167,580,577,S1
0,167,580,582,S1
0,167,580,580,S1
0,167,580,583,S1
0,167,580,578,S1
0,168,700,705,S1
0,168,700,698,S1
0,168,700,702,S1
0,168,700,700,S1
0,168,700,695,S1
0,169,70,75,S1
0,169,70,67,S1
0,169,70,70,S1
0,169,70,68,S1
0,169,70,72,S1
0,170,150,154,S1
0,170,150,146,S1
0,170,150,152,S1
0,170,150,149,S1
0,170,150,145,S1
0,171,250,246,S1
0,171,250,255,S1
0,171,250,253,S1
0,171,250,252,S1
0,171,250,248,S1
0,172,460,456,S1
0,172,460,465,S1
0,172,460,461,S1
0,172,460,462,S1
0,172,460,463,S1
0,173,290,295,S1
0,173,290,285,S1
0,173,290,289,S1
0,173,290,286,S1
0,173,290,288,S1
0,174,530,534,S1
0,174,530,529,S1
0,174,530,527,S1
0,174,530,532,S1
0,174,530,531,S1
0,175,420,415,S1
0,175,420,417,S1
0,175,420,421,S1
0,175,420,422,S1
0,175,420,418,S1
0,176,770,769,S1
0,176,770,768,S1
0,176,770,772,S1
0,176,770,771,S1
0,176,770,765,S1
0,177,250,253,S1
0,177,250,246,S1
0,177,250,251,S1
0,177,250,254,S1
0,177,250,245,S1
0,178,250,247,S1
0,178,250,249,S1
0,178,250,248,S1
0,178,250,251,S1
0,178,250,250,S1
0,179,850,852,S1
0,179,850,854,S1
0,179,850,853,S1
0,179,850,855,S1
0,179,850,847,S1
0,180,250,250,S1
0,180,250,254,S1
0,180,250,245,S1
0,180,250,246,S1
0,180,250,248,S1
0,181,610,607,S1
0,181,610,606,S1
0,181,610,615,S1
0,181,610,613,S1
0,181,610,614,S1
0,182,410,415,S1
0,182,410,405,S1
0,182,410,406,S1
0,182,410,413,S1
0,182,410,411,S1
0,183,690,689,S1
0,183,690,687,S1
0,183,690,691,S1
0,183,690,686,S1
0,183,690,690,S1
0,184,960,962,S1
0,184,960,960,S1
0,184,960,959,S1
0,184,960,964,S1
0,184,960,955,S1
0,185,480,485,S1
0,185,480,477,S1
0,185,480,483,S1
0,185,480,484,S1
0,185,480,482,S1
0,186,20,20,S1
0,186,20,15,S1
0,186,20,16,S1
0,186,20,23,S1
0,186,20,25,S1
0,187,970,972,S1
0,187,970,967,S1
0,187,970,975,S1
0,187,970,969,S1
0,187,970,974,S1
0,188,30,33,S1
0,188,30,29,S1
0,188,30,30,S1
0,188,30,32,S1
0,188,30,25,S1
0,189,820,819,S1
0,189,820,815,S1
0,189,820,822,S1
0,189,820,816,S1
0,189,820,825,S1
0,190,930,932,S1
0,190,930,935,S1
0,190,930,929,S1
0,190,930,926,S1
0,190,930,927,S1
0,191,380,381,S1
0,191,380,378,S1
0,191,380,383,S1
0,191,380,380,S1
0,191,380,385,S1
0,192,890,890,S1
0,192,890,893,S1
0,192,890,892,S1
0,192,890,895,S1
0,192,890,894,S1
0,193,670,673,S1
0,193,670,671,S1
0,193,670,666,S1
0,193,670,670,S1
0,193,670,667,S1
0,194,810,805,S1
0,194,810,813,S1
0,194,810,811,S1
0,194,810,812,S1
0,194,810,815,S1
0,195,810,811,S1
0,195,810,808,S1
0,195,810,814,S1
0,195,810,810,S1
0,195,810,812,S1
0,196,80,85,S1
0,196,80,81,S1
0,196,80,83,S1
0,196,80,76,S1
0,196,80,78,S1
0,197,300,301,S1
0,197,300,302,S1
0,197,300,295,S1
0,197,300,304,S1
0,197,300,297,S1
0,198,510,507,S1
0,198,510,509,S1
0,198,510,514,S1
0,198,510,508,S1
0,198,510,513,S1
0,199,270,266,S1
0,199,270,268,S1
0,199,270,270,S1
0,199,270,269,S1
0,199,270,271,S1
0,200,0,-1,S1
0,200,0,5,S1
0,200,0,0,S1
0,200,0,2,S1
0,200,0,1,S1
0,201,190,194,S1
0,201,190,188,S1
0,201,190,190,S1
0,201,190,185,S1
0,201,190,195,S1
0,202,890,889,S1
0,202,890,886,S1
0,202,890,892,S1
0,202,890,887,S1
0,202,890,890,S1
0,203,880,885,S1
0,203,880,882,S1
0,203,880,876,S1
0,203,880,877,S1
0,203,880,884,S1
0,204,770,774,S1
0,204,770,770,S1
0,204,770,767,S1
0,204,770,773,S1
0,204,770,772,S1
0,205,210,207,S1
0,205,210,212,S1
0,205,210,208,S1
0,205,210,206,S1
0,205,210,215,S1
0,206,740,740,S1
0,206,740,736,S1
0,206,740,743,S1
0,206,740,744,S1
0,206,740,735,S1
0,207,80,80,S1
0,207,80,85,S1
0,207,80,81,S1
0,207,80,77,S1
0,207,80,75,S1
0,208,630,626,S1
0,208,630,628,S1
0,208,630,625,S1
0,208,630,635,S1
0,208,630,629,S1
0,209,0,4,S1
0,209,0,-3,S1
0,209,0,-1,S1
0,209,0,3,S1
0,209,0,0,S1
0,210,640,641,S1
0,210,640,645,S1
0,210,640,635,S1
0,210,640,640,S1
0,210,640,636,S1
0,211,510,509,S1
0,211,510,507,S1
0,211,510,513,S1
0,211,510,512,S1
0,211,510,510,S1
0,212,590,590,S1
0,212,590,589,S1
0,212,590,586,S1
0,212,590,593,S1
0,212,590,585,S1
0,213,70,75,S1
0,213,70,68,S1
0,213,70,74,S1
0,213,70,69,S1
0,213,70,65,S1
0,214,840,842,S1
0,214,840,845,S1
0,214,840,840,S1
0,214,840,839,S1
0,214,840,841,S1
0,215,630,628,S1
0,215,630,627,S1
0,215,630,633,S1
0,215,630,635,S1
0,215,630,631,S1
0,216,710,706,S1
0,216,710,713,S1
0,216,710,712,S1
0,216,710,708,S1
0,216,710,705,S1
0,217,900,903,S1
0,217,900,897,S1
0,217,900,900,S1
0,217,900,902,S1
0,217,900,904,S1
0,218,170,172,S1
0,218,170,170,S1
0,218,170,171,S1
0,218,170,167,S1
0,218,170,165,S1
0,219,560,563,S1
0,219,560,555,S1
0,219,560,558,S1
0,219,560,562,S1
0,219,560,561,S1
0,220,310,305,S1
0,220,310,310,S1
0,220,310,311,S1
0,220,310,309,S1
0,220,310,308,S1
0,221,180,176,S1
0,221,180,181,S1
0,221,180,183,S1
0,221,180,184,S1
0,221,180,180,S1
0,222,540,537,S1
0,222,540,543,S1
0,222,540,536,S1
0,222,540,544,S1
0,222,540,535,S1
0,223,140,139,S1
0,223,140,137,S1
0,223,140,142,S1
0,223,140,140,S1
0,223,140,136,S1
0,224,200,195,S1
0,224,200,203,S1
0,224,200,197,S1
0,224,200,204,S1
0,224,200,201,S1
0,225,440,443,S1
0,225,440,445,S1
0,225,440,436,S1
0,225,440,437,S1
0,225,440,435,S1
0,226,560,555,S1
0,226,560,559,S1
0,226,560,564,S1
0,226,560,565,S1
0,226,560,557,S1
0,227,690,686,S1
0,227,690,689,S1
0,227,690,695,S1
0,227,690,685,S1
0,227,690,687,S1
0,228,930,927,S1
0,228,930,935,S1
0,228,930,929,S1
0,228,930,933,S1
0,228,930,930,S1
0,229,560,557,S1
0,229,560,563,S1
0,229,560,560,S1
0,229,560,561,S1
0,229,560,558,S1
0,230,270,269,S1
0,230,270,273,S1
0,230,270,270,S1
0,230,270,266,S1
0,230,270,272,S1
0,231,220,217,S1
0,231,220,218,S1
0,231,220,221,S1
0,231,220,222,S1
0,231,220,223,S1
0,232,340,336,S1
0,232,340,340,S1
0,232,340,344,S1
0,232,340,341,S1
0,232,340,345,S1
0,233,40,38,S1
0,233,40,35,S1
0,233,40,41,S1
0,233,40,44,S1
0,233,40,43,S1
0,234,290,291,S1
0,234,290,288,S1
0,234,290,293,S1
0,234,290,289,S1
0,234,290,292,S1
0,235,460,465,S1
0,235,460,459,S1
0,235,460,455,S1
0,235,460,464,S1
0,235,460,462,S1
0,236,380,376,S1
0,236,380,375,S1
0,236,380,380,S1
0,236,380,377,S1
0,236,380,383,S1
0,237,940,938,S1
0,237,940,941,S1
0,237,940,942,S1
0,237,940,935,S1
0,237,940,940,S1
0,238,400,398,S1
0,238,400,397,S1
0,238,400,404,S1
0,238,400,405,S1
0,238,400,403,S1
0,239,980,976,S1
0,239,980,979,S1
0,239,980,982,S1
0,239,980,980,S1
0,239,980,985,S1
0,240,780,781,S1
0,240,780,782,S1
0,240,780,783,S1
0,240,780,779,S1
0,240,780,780,S1
0,241,480,477,S1
0,241,480,479,S1
0,241,480,478,S1
0,241,480,481,S1
0,241,480,484,S1
0,242,730,727,S1
0,242,730,729,S1
0,242,730,735,S1
0,242,730,731,S1
0,242,730,730,S1
0,243,150,149,S1
0,243,150,147,S1
0,243,150,146,S1
0,243,150,152,S1
0,243,150,145,S1
0,244,220,215,S1
0,244,220,222,S1
0,244,220,216,S1
0,244,220,217,S1
0,244,220,220,S1
0,245,50,51,S1
0,245,50,46,S1
0,245,50,50,S1
0,245,50,52,S1
0,245,50,49,S1
0,246,620,615,S1
0,246,620,622,S1
0,246,620,621,S1
0,246,620,616,S1
0,246,620,625,S1
0,247,840,842,S1
0,247,840,840,S1
0,247,840,844,S1
0,247,840,838,S1
0,247,840,835,S1
0,248,220,222,S1
0,248,220,215,S1
0,248,220,223,S1
0,248,220,219,S1
0,248,220,218,S1
0,249,370,369,S1
0,249,370,365,S1
0,249,370,366,S1
0,249,370,375,S1
0,249,370,367,S1
0,250,90,85,S1
0,250,90,92,S1
0,250,90,89,S1
0,250,90,93,S1
0,250,90,90,S1
0,251,230,235,S1
0,251,230,232,S1
0,251,230,230,S1
0,251,230,231,S1
0,251,230,225,S1
0,252,540,543,S1
0,252,540,541,S1
0,252,540,544,S1
0,252,540,536,S1
0,252,540,545,S1
0,253,100,99,S1
0,253,100,101,S1
0,253,100,104,S1
0,253,100,102,S1
0,253,100,105,S1
0,254,90,86,S1
0,254,90,87,S1
0,254,90,88,S1
0,254,90,94,S1
